,,,Scoby Samples taken at the end of fermentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bacterial genera count (Lab brew Samples),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komagataeibacter,Ammoniphilus,Paenibacillus,Streptococcus,Anoxybacillus,Bradyrhizobium,Lawsonella,Pedobacter,Rhodococcus,Lactobacillus,Faecalibacterium,Solobacterium,Sphingomonas,Listeria,Lactococcus,Prevotella_7,Chryseobacterium,Blastomonas,Pseudomonas,Nocardioides,Staphylococcus,Prevotella,Niabella,Methylobacterium,Anaerococcus,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Flavobacterium,Kocuria,Acinetobacter,Haemophilus,Variovorax,Candidatus_Carsonella,Brevibacterium,Brevibacillus,Cloacibacterium,Salana,Brevundimonas,Corynebacterium_1,Sodalis,Atopostipes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fungal genera count (Commercial brew Samples),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zygosaccharomyces,Saccharomyces,Brettanomyces,Hanseniaspora,Starmerella,Metschnikowia,Pichia,Debaryomyces ,Cladosporium,Penicillium,Fusarium,Aureobasidium,Tilletiopsis,Hypocreales Order,Heterocephalacria,,,,,,,,,,,,,,,,,,,,,,,,,
SB1Ef,83,1247,138,382,16,34,9,25,8,19,19,0,15,13,0,,,,,,,,,,,,,,,,,,,,,,,,,
SB2Ef,5486,137,1143,405,75,30,30,0,14,0,5,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SB3Ef,43,0,12,0,5,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
Sum,5612,1384,1293,787,96,64,39,25,22,19,24,16,15,13,3,,,,,,,,,,,,,,,,,,,,,,,,,
Sum Total,9412,9412,9412,9412,9412,9412,9412,9412,9412,9412,9412,9412,9412,9412,9412,,,,,,,,,,,,,,,,,,,,,,,,,
Percent,59.62600935,14.70463238,13.73778156,8.361665958,1.019974501,0.679983,0.414364641,0.26561836,0.233744156,0.201869953,0.254993625,0.16999575,0.159371016,0.138121547,0.031874203,,,,,,,,,,,,,,,,,,,,,,,,,
